	x
(Intercept)	-1.01092115837146
V25032	0.207952429538767
V27330	0.193192329965268
V187093	0.137664065410884
V152258	0.0767092407665562
V207629	0.0677453681151693
V7744	0.0606732454729095
V22756	0.0543022108346014
V127389	0.0416452880181596
V23987	0.0382863025779904
V205976	0.0341764011564094
V140461	0.0310322069429377
V114762	-0.0251771949961178
V8578	0.023378043750491
V212985	-0.00782616454282933
V180390	-0.00681198455224038
V31672	0.00574241232634253
V79487	0.00568739750622013
V15298	-0.00186200535611934
V140479	4.66406799727898e-17
