	x
(Intercept)	-0.179024655167178
V102637	0.12366051932463
V196801	-0.068375913620459
V94990	0.0625815357257684
V93998	0.0618692430769178
V106873	-0.0427517467301271
V193065	-0.0381813532301863
V109507	0.0373441907649061
V159277	0.0317071193634874
V143937	0.0231786845244199
V140798	0.0173714788756249
V22114	-0.0162170621741287
V206110	0.0136652424421377
V12640	0.0106103703163755
V131714	0.00708483113582548
V40603	0.00321397658852396
V110488	0.00296660666704953
V47731	-0.00189310185537369
V178923	0.00140379600185335
V157547	-0.00108015787552616
V190956	-0.000412358737086413
V196802	-4.57399376959049e-15
V196806	-1.18818438048083e-15
