	x
(Intercept)	3.20843349295024
V57068	-0.785037756403989
V2320	-0.686350785025786
V201633	-0.478944497556485
V204761	-0.430559240025711
V203391	-0.388379784848549
V62384	-0.387605993891219
V206419	-0.229135350772403
V125676	-0.195670416724966
V96655	-0.171968903638025
V77100	-0.145565892151202
V107838	-0.139806407167574
V7183	-0.133529571903541
V156789	-0.128078930006172
V164947	-0.104078586557959
V209653	-0.0994738479195949
V198309	-0.0583875337808145
V186781	-0.0562255356071972
V52175	-0.0304324894782147
V141714	-0.024868538252574
V191171	-0.000525210103619294
