	x
(Intercept)	-1.38940555939017
V13573	0.330423847359788
V27125	0.192989742632645
V194161	0.1788683095676
V180975	0.151877637966455
V87962	0.108881935313764
V134586	0.0952046731586963
V147880	0.0828775235647232
V189075	-0.0751908774124962
V27119	0.0735471360360287
V107194	0.0659324335925438
V201585	0.0632250299471232
V102327	0.062766973827117
V57852	0.0579013505445295
V16801	0.0381988056069155
V205514	0.00377877250242174
V196521	0.00299856401013344
V85135	0.00277992829668067
V141499	0.00065943494538745
V108055	3.29190955670344e-05
V134589	1.72767838034724e-15
