	x
(Intercept)	-6.57866724147214
V57741	0.654317878111275
V111831	0.620292740973201
V29437	0.508970128414542
V146787	0.491241098434813
V174217	0.488727065028449
V80126	0.459674461132907
V107333	0.457136449876167
V193879	0.39516485178044
V150835	0.385730778293861
V158592	0.345840504118634
V158329	0.232867149761071
V26983	0.228562692995006
V190707	0.1599426466893
V84763	0.108417817795755
V10422	0.108135291593112
V80078	0.0804704708323809
V104739	0.0408008785869105
V80039	0.0384902267433913
V107584	0.0337678810916051
V171420	0.016300417980844
V107316	0.0114797954893048
