	x
(Intercept)	-0.430196346364395
V72828	0.143384750336284
V63187	-0.0959634954465397
V204562	0.090234343517409
V213524	0.0871541423250464
V30879	0.0732688950891555
V207471	-0.0710287693674927
V150464	0.0707849949984981
V156535	0.0674309850311301
V66548	0.0669391070411081
V198395	0.0598846369602003
V26162	0.0422365462095399
V89657	0.0406916831906215
V150705	0.0365030109293069
V55173	0.0336853628952369
V125078	0.017877577035646
V124773	0.0149938385743435
V124796	-0.00865126778090634
V72670	-0.00627610520270566
V124776	-0.00579374747973483
V1005	0.00322597354242416
V124859	-0.000249987650838874
